"date","proposal","who","state"
"
1121215
","

不義遺址保存條例草案

","
吳思瑤
","
 1121215   一讀(委員會待審)
"
"
1121215
","

出版文化產業振興法草案

","
陳培瑜等
","
 1121215   一讀(委員會待審)
"
"
1121215
","

資通安全管理法修正草案

","
趙天麟
","
 1121215   一讀(委員會待審)
"
"
1121215
","

住宅法第四條條文修正草案

","
趙天麟
","
 1121215   一讀(委員會待審)
"
"
1121215
","

消防法部分條文修正草案

","
何志偉
","
 1121215   一讀(委員會待審)
"
"
1121215
","

所得稅法第五條條文修正草案

","
何志偉
","
 1121215   一讀(委員會待審)
"
"
1121215
","

內政部警政署組織法第二條條文修正草案

","
何志偉
","
 1121215   一讀(委員會待審)
"
"
1121215
","

農業部組織法第二條條文修正草案

","
何志偉
","
 1121215   一讀(委員會待審)
"
"
1121215
","

經濟部組織法第二條條文修正草案

","
何志偉
","
 1121215   一讀(委員會待審)
"
"
1121215
","

氣候變遷因應法第五條條文修正草案

","
何志偉
","
 1121215   一讀(委員會待審)
"
"
1121215
","

公職人員財產申報法第五條條文修正草案

","
張宏陸
","
 1121215   一讀(委員會待審)
"
"
1121215
","

運動產業發展條例增訂第二十四條之一條文草案

","
張宏陸
","
 1121215   一讀(委員會待審)
"
"
1121215
","

工廠管理輔導法第三十一條條文修正草案

","
張宏陸
","
 1121215   一讀(委員會待審)
"
"
1121215
","

消防法第四十三條及第四十三條之一條文修正草案

","
張宏陸
","
 1121215   一讀(委員會待審)
"
"
1121215
","

噪音管制法第二十六條及第二十八條條文修正草案

","
張宏陸
","
 1121215   一讀(委員會待審)
"
"
1121215
","

離島建設條例第三條、第七條及第七條之一條文修正草案

","
陳玉珍
","
 1121215   一讀(委員會待審)
"
"
1121215
","

離島建設條例第五條條文修正草案

","
陳玉珍
","
 1121215   一讀(委員會待審)
"
"
1121215
","

離島建設條例第十條條文修正草案

","
陳玉珍
","
 1121215   一讀(委員會待審)
"
"
1121215
","

離島建設條例第十四條、第十四條之一及第十八條之一條文修正草案

","
陳玉珍
","
 1121215   一讀(委員會待審)
"
"
1121215
","

離島建設條例第十六條條文修正草案

","
陳玉珍
","
 1121215   一讀(委員會待審)
"
"
1121215
","

消防法部分條文修正草案

","
范雲
","
 1121215   一讀(委員會待審)
"
"
1121215
","

老人福利法增訂第三十四條之一條文草案

","
萬美玲
","
 1121215   一讀(委員會待審)
"
"
1121215
","

醫療法第一百零六條條文修正草案

","
萬美玲
","
 1121215   一讀(委員會待審)
"
"
1121215
","

緊急醫療救護法第二條及第十四條之一條文修正草案

","
萬美玲
","
 1121215   一讀(委員會待審)
"
"
1121215
","

社會救助法第四條及第十一條條文修正草案

","
萬美玲
","
 1121215   一讀(委員會待審)
"
"
1121215
","

政府採購法第九十八條條文修正草案

","
萬美玲
","
 1121215   一讀(委員會待審)
"
"
1121215
","

住宅法第四條條文修正草案

","
謝衣鳯
","
 1121215   一讀(委員會待審)
"
"
1121215
","

青年基本法草案

","
吳思瑤
","
 1121215   一讀(委員會待審)
"
"
1121215
","

海洋保育法草案

","
羅美玲等
","
 1121215   一讀(委員會待審)
"
"
1121215
","

性別平等工作法第十五條條文修正草案

","
林文瑞
","
 1121215   一讀(委員會待審)
"
"
1121215
","

人工生殖法部分條文修正草案

","
時代力量黨團等
","
 1121215   一讀(委員會待審)
"
"
1121215
","

租賃住宅市場發展及管理條例第七條條文修正草案

","
時代力量黨團等
","
 1121215   一讀(委員會待審)
"
"
1121208
","

廢止內政部營建署組織條例

","
吳琪銘等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

廢止交通部觀光局組織條例

","
吳琪銘等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

廢止行政院農業委員會組織條例

","
吳琪銘等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

學校法人及其所屬私立學校教職員退休撫卹離職資遣條例第八條條文修正草案

","
吳琪銘等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

住宅法第二十五條條文修正草案

","
趙正宇
","
 1121208   一讀(委員會待審)
"
"
1121208
","

原住民身分法第四條條文修正草案

","
趙正宇
","
 1121208   一讀(委員會待審)
"
"
1121208
","

國籍法第二條及第六條條文修正草案

","
趙正宇
","
 1121208   一讀(委員會待審)
"
"
1121208
","

文化資產保存法第二十一條及第一百零二條條文修正草案

","
趙正宇
","
 1121208   一讀(委員會待審)
"
"
1121208
","

運動產業發展條例增訂第二十四條之一條文草案

","
趙正宇
","
 1121208   一讀(委員會待審)
"
"
1121208
","

所得稅法第十七條條文修正草案

","
魯明哲
","
 1121208   一讀(委員會待審)
"
"
1121208
","

道路交通管理處罰條例第五十六條條文修正草案

","
魯明哲
","
 1121208   一讀(委員會待審)
"
"
1121208
","

道路交通管理處罰條例第八十一條條文修正草案

","
魯明哲
","
 1121208   一讀(委員會待審)
"
"
1121208
","

兒童及少年福利與權益保障法第三十三條之一條文修正草案

","
魯明哲
","
 1121208   一讀(委員會待審)
"
"
1121208
","

就業服務法第五條條文修正草案

","
魯明哲
","
 1121208   一讀(委員會待審)
"
"
1121208
","

癌症防治法第十六條條文修正草案

","
林為洲等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

陸海空軍軍官士官服役條例第二十四條條文修正草案

","
郭國文
","
 1121208   一讀(委員會待審)
"
"
1121208
","

菸酒稅法部分條文修正草案

","
郭國文
","
 1121208   一讀(委員會待審)
"
"
1121208
","

不義遺址保存條例草案

","
范雲
","
 1121208   一讀(委員會待審)
"
"
1121208
","

性別平等工作法第十五條條文修正草案

","
范雲等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

國民法官法第三條條文修正草案

","
范雲等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

家事事件法部分條文修正草案

","
范雲等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

人工生殖法部分條文修正草案

","
范雲等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

學校飲食教育法草案

","
蔡培慧等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

學生輔導法部分條文修正草案

","
蔡培慧等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

老年農民福利津貼暫行條例第四條條文修正草案

","
劉建國等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

兒童及少年福利與權益保障法第五十四條及第五十四條之一條文修正草案

","
蘇巧慧等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

社會救助法第九條之一條文修正草案

","
蘇巧慧等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

老人福利法第四十三條條文修正草案

","
蘇巧慧等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

身心障礙者權益保障法第七十六條條文修正草案

","
蘇巧慧等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

長期照顧服務法增訂第九條之一條文草案

","
蘇巧慧等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

精神衛生法第二十七條條文修正草案

","
蘇巧慧等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

國民年金法第十五條及第五十四條之一條文修正草案

","
台灣民眾黨黨團等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

消除一切形式種族歧視國際公約施行法草案

","
台灣民眾黨黨團等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

中高齡者及高齡者就業促進法第七條及第三十六條條文修正草案

","
台灣民眾黨黨團等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

槍砲彈藥刀械管制條例第四條及第五條之三條文修正草案

","
台灣民眾黨黨團等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

人工智慧發展及管理條例草案

","
台灣民眾黨黨團等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

發展觀光條例部分條文修正草案

","
時代力量黨團等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

所得稅法第十四條條文修正草案

","
時代力量黨團等
","
 1121208   一讀(委員會待審)
"
"
1121208
","

立法院議事規則第二十三條條文修正草案

","
時代力量黨團等
","
 1121208   一讀(委員會待審)
"
"
1121201
","

刑事訴訟法第九十二條、第二百二十八條及第二百六十三條之一條文修正草案

","
蔡易餘等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

刑事妥速審判法第六條條文修正草案

","
蔡易餘等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

都市危險及老舊建築物加速重建條例第三條及第十一條條文修正草案

","
賴惠員
","
 1121201   一讀(委員會待審)
"
"
1121201
","

運動產業發展條例增訂第二十四條之一條文草案

","
賴惠員
","
 1121201   一讀(委員會待審)
"
"
1121201
","

規費法第十二條條文修正草案

","
江啟臣
","
 1121201   一讀(委員會待審)
"
"
1121201
","

刑事補償法部分條文修正草案

","
江啟臣
","
 1121201   一讀(委員會待審)
"
"
1121201
","

國民年金法第五十四條之一條文修正草案

","
江啟臣等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

社會救助法第十一條條文修正草案

","
江啟臣
","
 1121201   一讀(委員會待審)
"
"
1121201
","

老年農民福利津貼暫行條例第四條條文修正草案

","
江啟臣等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

公務人員退休資遣撫卹法第三十七條條文修正草案

","
游毓蘭等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

國家語言研究發展中心設置條例草案

","
吳思瑤
","
 1121201   一讀(委員會待審)
"
"
1121201
","

兒童及少年福利與權益保障法第七十七條條文修正草案

","
趙天麟等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

國家機密保護法第十二條條文修正草案

","
賴品妤
","
 1121208   三讀
"
"
1121201
","

政治檔案條例第五條條文修正草案

","
賴品妤
","
 1121208   三讀
"
"
1121201
","

教師法部分條文修正草案

","
賴品妤
","
 1121201   一讀(委員會待審)
"
"
1121201
","

長期照顧服務法部分條文修正草案

","
溫玉霞等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

就業服務法部分條文修正草案

","
溫玉霞等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

槍砲彈藥刀械管制條例部分條文修正草案

","
陳亭妃等
","
 1121218   三讀
"
"
1121201
","

教師法部分條文修正草案

","
陳培瑜等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

教育人員任用條例部分條文修正草案

","
陳培瑜等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

教師法部分條文修正草案

","
蔡培慧等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

農業發展條例第六十條條文修正草案

","
陳以信等
","
 1121201   一讀(委員會待審)
"
"
1121201
","

國防產業發展條例第十條條文修正草案

","
陳以信
","
 1121201   一讀(委員會待審)
"
"
1121201
","

社會秩序維護法第三十八條條文修正草案

","
陳以信
","
 1121201   一讀(委員會待審)
"
"
1121201
","

中央銀行法第五條條文修正草案

","
陳以信
","
 1121201   一讀(委員會待審)
"
"
1121201
","

行政罰法部分條文修正草案

","
陳以信
","
 1121201   一讀(委員會待審)
"
"
1121201
","

營養及健康飲食促進法草案

","
時代力量黨團等
","
 1121215   三讀
"
"
1121124
","

工廠管理輔導法第三十一條條文修正草案

","
邱議瑩
","
 1121124   一讀(委員會待審)
"
"
1121124
","

外國專業人才延攬及僱用法第十四條條文修正草案

","
邱議瑩等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

運動產業發展條例增訂第二十四條之一條文草案

","
劉櫂豪等
","
 1121215   三讀
"
"
1121124
","

文化資產保存法第一百零二條條文修正草案

","
劉櫂豪等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

家庭暴力防治法第十五條條文修正草案

","
劉櫂豪等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

動物保護法第五條條文修正草案

","
邱泰源等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

道路交通安全基本法草案

","
邱泰源等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

癌症防治法第十六條條文修正草案

","
邱泰源等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

兒童及少年福利與權益保障法第五十三條條文修正草案

","
邱泰源等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

家庭暴力防治法第五十條條文修正草案

","
邱泰源等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

在臺公司大陸地區股東股權行使條例第三條條文修正草案

","
陳瑩等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

勞工保險條例第六條條文修正草案

","
陳瑩等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

社會福利基本法第四條條文修正草案

","
陳瑩等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

農民健康保險條例第七條條文修正草案

","
陳瑩等
","
 1121124   一讀(委員會待審)
"
"
1121124
","

跟蹤騷擾防制法第五條條文修正草案

","
陳瑩等
","
 1121124   一讀(委員會待審)
"
